t,S,I,R,D
156,293.6773548,0.759808062,96726.39002,2979.172813
157,293.6762391,0.689722831,96726.4591,2979.17494
158,293.6752263,0.626102308,96726.5218,2979.176871
159,293.674307,0.568350183,96726.57872,2979.178625
160,293.6734724,0.515925154,96726.63039,2979.180216
161,293.6727149,0.468335844,96726.67729,2979.18166
162,293.6720272,0.425136205,96726.71986,2979.182972
163,293.6714029,0.385921331,96726.75851,2979.184162
164,293.6708362,0.350323664,96726.7936,2979.185243
165,293.6703218,0.318009551,96726.82544,2979.186224
166,293.6698549,0.288676115,96726.85435,2979.187114
167,293.669431,0.262048416,96726.8806,2979.187922
168,293.6690462,0.237876875,96726.90442,2979.188656
169,293.668697,0.215934935,96726.92605,2979.189322
170,293.6683799,0.196016935,96726.94568,2979.189927
171,293.6680921,0.177936186,96726.9635,2979.190476
172,293.6678308,0.161523219,96726.97967,2979.190974
173,293.6675936,0.146624196,96726.99436,2979.191426
174,293.6673783,0.13309947,96727.00769,2979.191837
175,293.6671829,0.120822274,96727.01979,2979.192209
176,293.6670055,0.109677536,96727.03077,2979.192548
177,293.6668444,0.099560798,96727.04074,2979.192855
178,293.6666983,0.090377234,96727.04979,2979.193134
179,293.6665656,0.08204077,96727.05801,2979.193387
180,293.6664451,0.074473267,96727.06547,2979.193616
181,293.6663357,0.067603796,96727.07224,2979.193825
182,293.6662365,0.061367971,96727.07838,2979.194014
183,293.6661464,0.055707343,96727.08396,2979.194186
184,293.6660646,0.050568855,96727.08902,2979.194342
185,293.6659903,0.045904345,96727.09362,2979.194484
186,293.6659229,0.041670094,96727.09779,2979.194612
187,293.6658617,0.037826412,96727.10158,2979.194729
188,293.6658062,3.43E-02,96727.10502,2979.194835
189,293.6657558,3.12E-02,96727.10814,2979.194931
190,293.66571,2.83E-02,96727.11098,2979.195018
191,293.6656685,2.57E-02,96727.11355,2979.195097
192,293.6656307,2.33E-02,96727.11588,2979.195169
193,293.6655965,2.12E-02,96727.118,2979.195235
194,293.6655654,1.92E-02,96727.11993,2979.195294
195,293.6655372,1.74E-02,96727.12167,2979.195348
196,293.6655116,1.58E-02,96727.12326,2979.195396
197,293.6654884,1.44E-02,96727.1247,2979.195441
198,293.6654673,1.30E-02,96727.12601,2979.195481
199,293.6654481,1.18E-02,96727.12719,2979.195518
200,293.6654307,1.08E-02,96727.12827,2979.195551
201,293.6654149,9.76E-03,96727.12925,2979.195581
202,293.6654006,8.86E-03,96727.13013,2979.195608
203,293.6653876,8.04E-03,96727.13094,2979.195633
204,293.6653758,7.30E-03,96727.13167,2979.195655
205,293.6653651,6.63E-03,96727.13233,2979.195676
206,293.6653553,6.02E-03,96727.13294,2979.195694
207,293.6653465,5.46E-03,96727.13348,2979.195711
208,293.6653385,4.96E-03,96727.13398,2979.195727
209,293.6653312,4.50E-03,96727.13443,2979.19574
210,293.6653246,4.08E-03,96727.13484,2979.195753
211,293.6653186,3.71E-03,96727.13521,2979.195764
212,293.6653132,3.37E-03,96727.13555,2979.195775
213,293.6653082,3.06E-03,96727.13585,2979.195784
214,293.6653037,2.77E-03,96727.13613,2979.195793
215,293.6652997,2.52E-03,96727.13638,2979.195801
216,293.665296,2.29E-03,96727.13661,2979.195808
217,293.6652926,2.07E-03,96727.13682,2979.195814
218,293.6652896,1.88E-03,96727.13701,2979.19582
219,293.6652868,1.71E-03,96727.13718,2979.195825
220,293.6652843,1.55E-03,96727.13733,2979.19583
221,293.665282,1.41E-03,96727.13748,2979.195834
222,293.6652799,1.28E-03,96727.1376,2979.195838
223,293.6652781,1.16E-03,96727.13772,2979.195842
224,293.6652764,1.05E-03,96727.13782,2979.195845
225,293.6652748,9.56E-04,96727.13792,2979.195848
226,293.6652734,8.68E-04,96727.13801,2979.195851
227,293.6652721,7.88E-04,96727.13809,2979.195853
228,293.665271,7.15E-04,96727.13816,2979.195855
229,293.6652699,6.49E-04,96727.13822,2979.195857
230,293.665269,5.90E-04,96727.13828,2979.195859
231,293.6652681,5.35E-04,96727.13834,2979.195861
232,293.6652673,4.86E-04,96727.13838,2979.195862
233,293.6652666,4.41E-04,96727.13843,2979.195864
234,293.665266,4.00E-04,96727.13847,2979.195865
235,293.6652654,3.63E-04,96727.13851,2979.195866
236,293.6652648,3.30E-04,96727.13854,2979.195867
237,293.6652644,2.99E-04,96727.13857,2979.195868
238,293.6652639,2.72E-04,96727.1386,2979.195869
239,293.6652635,2.47E-04,96727.13862,2979.19587
240,293.6652632,2.24E-04,96727.13864,2979.19587
241,293.6652628,2.03E-04,96727.13866,2979.195871
242,293.6652625,1.85E-04,96727.13868,2979.195871
243,293.6652623,1.68E-04,96727.1387,2979.195872
244,293.665262,1.52E-04,96727.13871,2979.195872
245,293.6652618,1.38E-04,96727.13873,2979.195873
246,293.6652616,1.25E-04,96727.13874,2979.195873
247,293.6652614,1.14E-04,96727.13875,2979.195874
248,293.6652612,1.03E-04,96727.13876,2979.195874
249,293.6652611,9.38E-05,96727.13877,2979.195874
250,293.6652609,8.51E-05,96727.13878,2979.195874
251,293.6652608,7.73E-05,96727.13879,2979.195875
252,293.6652607,7.01E-05,96727.13879,2979.195875
253,293.6652606,6.37E-05,96727.1388,2979.195875
254,293.6652605,5.78E-05,96727.13881,2979.195875
255,293.6652604,5.25E-05,96727.13881,2979.195875
256,293.6652604,4.76E-05,96727.13882,2979.195876
257,293.6652603,4.32E-05,96727.13882,2979.195876
258,293.6652602,3.92E-05,96727.13882,2979.195876
259,293.6652602,3.56E-05,96727.13883,2979.195876
260,293.6652601,3.23E-05,96727.13883,2979.195876
261,293.6652601,2.94E-05,96727.13883,2979.195876
262,293.66526,2.66E-05,96727.13884,2979.195876
263,293.66526,2.42E-05,96727.13884,2979.195876
264,293.6652599,2.20E-05,96727.13884,2979.195876
265,293.6652599,1.99E-05,96727.13884,2979.195876
266,293.6652599,1.81E-05,96727.13885,2979.195876
267,293.6652599,1.64E-05,96727.13885,2979.195876
268,293.6652598,1.49E-05,96727.13885,2979.195877
269,293.6652598,1.35E-05,96727.13885,2979.195877
270,293.6652598,1.23E-05,96727.13885,2979.195877
271,293.6652598,1.12E-05,96727.13885,2979.195877
272,293.6652598,1.01E-05,96727.13885,2979.195877
273,293.6652597,9.19E-06,96727.13885,2979.195877
274,293.6652597,8.34E-06,96727.13886,2979.195877
275,293.6652597,7.57E-06,96727.13886,2979.195877
