t,S,I,R
184,242.2633336,0.0754341,99757.66123
185,242.2632422,0.068667829,99757.66809
186,242.2631591,0.062508477,99757.67433
187,242.2630833,0.056901606,99757.68002
188,242.2630144,5.18E-02,99757.68519
189,242.2629517,4.72E-02,99757.6899
190,242.2628946,4.29E-02,99757.69418
191,242.2628426,3.91E-02,99757.69809
192,242.2627952,3.56E-02,99757.70164
193,242.2627522,3.24E-02,99757.70487
194,242.2627129,2.95E-02,99757.70781
195,242.2626772,2.68E-02,99757.71049
196,242.2626447,2.44E-02,99757.71293
197,242.2626152,2.22E-02,99757.71515
198,242.2625882,2.02E-02,99757.71717
199,242.2625637,1.84E-02,99757.71901
200,242.2625414,1.68E-02,99757.72069
201,242.2625211,1.53E-02,99757.72221
202,242.2625026,1.39E-02,99757.7236
203,242.2624858,1.27E-02,99757.72486
204,242.2624704,1.15E-02,99757.72601
205,242.2624565,1.05E-02,99757.72706
206,242.2624438,9.54E-03,99757.72801
207,242.2624322,8.69E-03,99757.72888
208,242.2624217,7.91E-03,99757.72967
209,242.2624121,7.20E-03,99757.73039
210,242.2624034,6.55E-03,99757.73104
211,242.2623955,5.96E-03,99757.73164
212,242.2623882,5.43E-03,99757.73218
213,242.2623817,4.94E-03,99757.73268
214,242.2623757,4.50E-03,99757.73313
215,242.2623702,4.10E-03,99757.73353
216,242.2623653,3.73E-03,99757.73391
217,242.2623608,3.39E-03,99757.73425
218,242.2623566,3.09E-03,99757.73455
219,242.2623529,2.81E-03,99757.73483
220,242.2623495,2.56E-03,99757.73509
221,242.2623464,2.33E-03,99757.73532
222,242.2623436,2.12E-03,99757.73554
223,242.262341,1.93E-03,99757.73573
224,242.2623387,1.76E-03,99757.7359
225,242.2623365,1.60E-03,99757.73606
226,242.2623346,1.46E-03,99757.73621
227,242.2623328,1.33E-03,99757.73634
228,242.2623312,1.21E-03,99757.73646
229,242.2623298,1.10E-03,99757.73657
230,242.2623284,1.00E-03,99757.73667
231,242.2623272,9.11E-04,99757.73676
232,242.2623261,8.29E-04,99757.73685
233,242.2623251,7.55E-04,99757.73692
234,242.2623242,6.87E-04,99757.73699
235,242.2623234,6.25E-04,99757.73705
236,242.2623226,5.69E-04,99757.73711
237,242.2623219,5.18E-04,99757.73716
238,242.2623213,4.72E-04,99757.73721
239,242.2623207,4.29E-04,99757.73725
240,242.2623202,3.91E-04,99757.73729
241,242.2623197,3.56E-04,99757.73732
242,242.2623193,3.24E-04,99757.73736
243,242.2623189,2.95E-04,99757.73739
244,242.2623185,2.68E-04,99757.73741
245,242.2623182,2.44E-04,99757.73744
246,242.2623179,2.22E-04,99757.73746
247,242.2623177,2.02E-04,99757.73748
248,242.2623174,1.84E-04,99757.7375
249,242.2623172,1.68E-04,99757.73752
250,242.262317,1.53E-04,99757.73753
251,242.2623168,1.39E-04,99757.73754
252,242.2623166,1.27E-04,99757.73756
253,242.2623165,1.15E-04,99757.73757
254,242.2623163,1.05E-04,99757.73758
255,242.2623162,9.54E-05,99757.73759
256,242.2623161,8.69E-05,99757.7376
257,242.262316,7.91E-05,99757.7376
258,242.2623159,7.20E-05,99757.73761
259,242.2623158,6.55E-05,99757.73762
260,242.2623157,5.97E-05,99757.73762
261,242.2623157,5.43E-05,99757.73763
262,242.2623156,4.94E-05,99757.73763
263,242.2623155,4.50E-05,99757.73764
264,242.2623155,4.10E-05,99757.73764
265,242.2623154,3.73E-05,99757.73765
266,242.2623154,3.39E-05,99757.73765
267,242.2623153,3.09E-05,99757.73765
268,242.2623153,2.81E-05,99757.73766
269,242.2623153,2.56E-05,99757.73766
270,242.2623152,2.33E-05,99757.73766
271,242.2623152,2.12E-05,99757.73766
272,242.2623152,1.93E-05,99757.73767
273,242.2623152,1.76E-05,99757.73767
274,242.2623151,1.60E-05,99757.73767
275,242.2623151,1.46E-05,99757.73767
276,242.2623151,1.33E-05,99757.73767
277,242.2623151,1.21E-05,99757.73767
278,242.2623151,1.10E-05,99757.73767
279,242.2623151,1.00E-05,99757.73767
280,242.262315,9.11E-06,99757.73768
281,242.262315,8.29E-06,99757.73768
282,242.262315,7.55E-06,99757.73768
