t,S,I,R,D,R0,beta, gamma, mu
249,34.58399549466424,0.010702313869253351,63.45101105298873,1.9542911384777606,1.6006984850594699,0.15,0.090909091,0.0028
250,34.58344030150228,0.010254602926924037,63.45198399061418,1.9543211049565945,1.6006984850594699,0.15,0.090909091,0.0028
251,34.58290834233007,0.009825612580284379,63.452916227244835,1.9543498178447898,1.6006984850594699,0.15,0.090909091,0.0028
252,34.582398644941165,0.009414560745774595,63.45380946475303,1.9543773295600146,1.6006984850594699,0.15,0.090909091,0.0028
253,34.581910277801995,0.009020697955289864,63.454665333912594,1.9544036903301027,1.6006984850594699,0.15,0.090909091,0.0028
254,34.581442348351,0.008643306000713571,63.455485397363894,1.9544289482843775,1.6006984850594699,0.15,0.090909091,0.0028
255,34.58099400136875,0.008281696634396107,63.456271152455656,1.9544531495411794,1.6006984850594699,0.15,0.090909091,0.0028
256,34.5805644174163,0.007935210323301899,63.45702403396863,1.9544763382917558,1.6006984850594699,0.15,0.090909091,0.0028
257,34.58015281133867,0.007603215054637494,63.45774541672601,1.954498556880661,1.6006984850594699,0.15,0.090909091,0.0028
258,34.579758430831,0.007285105190860152,63.458436618095305,1.954519845882814,1.6006984850594699,0.15,0.090909091,0.0028
259,34.57938055506453,0.006980300372049972,63.459098900386046,1.9545402441773483,1.6006984850594699,0.15,0.090909091,0.0028
260,34.5790184933701,0.0066882444637088685,63.45973347314778,1.9545597890183901,1.6006984850594699,0.15,0.090909091,0.0028
261,34.5786715839766,0.006408404548127081,63.46034149537236,1.9545785161028886,1.6006984850594699,0.15,0.090909091,0.0028
262,34.57833919280223,0.006140269957532249,63.460924077604595,1.9545964596356233,1.6006984850594699,0.15,0.090909091,0.0028
263,34.578020712296244,0.0058833513473076785,63.461482283964926,1.9546136523915045,1.6006984850594699,0.15,0.090909091,0.0028
264,34.577715560329125,0.005637179807635232,63.462017134087944,1.954630125775277,1.6006984850594699,0.15,0.090909091,0.0028
265,34.5774231791292,0.005401306011984443,63.46252960498006,1.9546459098787383,1.6006984850594699,0.15,0.090909091,0.0028
266,34.577143034263656,0.005175299400933087,63.463020632799825,1.9546610335355719,1.6006984850594699,0.15,0.090909091,0.0028
267,34.57687461366221,0.004958747399865606,63.463491114564015,1.9546755243738945,1.6006984850594699,0.15,0.090909091,0.0028
268,34.57661742668159,0.004751254669154552,63.46394190978263,1.954689408866614,1.6006984850594699,0.15,0.090909091,0.0028
269,34.5763710032091,0.0045524423854867106,63.464373842025715,1.9547027123796876,1.6006984850594699,0.15,0.090909091,0.0028
270,34.57613489280376,0.004361947553049863,63.46478770042481,1.954715459218367,1.6006984850594699,0.15,0.090909091,0.0028
271,34.57590866387327,0.004179422343348268,63.46518424111184,1.9547276726715157,1.6006984850594699,0.15,0.090909091,0.0028
272,34.57569190288545,0.0040045334624650535,63.46556418859798,1.9547393750540771,1.6006984850594699,0.15,0.090909091,0.0028
273,34.57548421361263,0.0038369615446378507,63.465928237094936,1.954750587747772,1.6006984850594699,0.15,0.090909091,0.0028
274,34.57528521640766,0.003676400571060179,63.46627705178116,1.9547613312400969,1.6006984850594699,0.15,0.090909091,0.0028
275,34.57509454751018,0.0035225573128655034,63.46661127001523,1.9547716251616958,1.6006984850594699,0.15,0.090909091,0.0028
