beta,gamma,mu
8.53E-06,0.090909091,0.0028
8.32E-06,0.090909091,0.0028
8.11E-06,0.090909091,0.0028
7.91E-06,0.090909091,0.0028
7.72E-06,0.090909091,0.0028
7.53E-06,0.090909091,0.0028
7.34E-06,0.090909091,0.0028
7.16E-06,0.090909091,0.0028
6.98E-06,0.090909091,0.0028
6.81E-06,0.090909091,0.0028
6.64E-06,0.090909091,0.0028
6.48E-06,0.090909091,0.0028
6.32E-06,0.090909091,0.0028
6.16E-06,0.090909091,0.0028
6.01E-06,0.090909091,0.0028
5.86E-06,0.090909091,0.0028
5.72E-06,0.090909091,0.0028
5.58E-06,0.090909091,0.0028
5.44E-06,0.090909091,0.0028
5.30E-06,0.090909091,0.0028
5.17E-06,0.090909091,0.0028
5.04E-06,0.090909091,0.0028
4.92E-06,0.090909091,0.0028
4.80E-06,0.090909091,0.0028
4.68E-06,0.090909091,0.0028
4.56E-06,0.090909091,0.0028
4.45E-06,0.090909091,0.0028
4.34E-06,0.090909091,0.0028
4.24E-06,0.090909091,0.0028
4.13E-06,0.090909091,0.0028
4.03E-06,0.090909091,0.0028
3.93E-06,0.090909091,0.0028
3.83E-06,0.090909091,0.0028
3.74E-06,0.090909091,0.0028
3.65E-06,0.090909091,0.0028
3.56E-06,0.090909091,0.0028
3.47E-06,0.090909091,0.0028
3.38E-06,0.090909091,0.0028
3.30E-06,0.090909091,0.0028
3.22E-06,0.090909091,0.0028
3.14E-06,0.090909091,0.0028
3.06E-06,0.090909091,0.0028
2.98E-06,0.090909091,0.0028
2.91E-06,0.090909091,0.0028
2.84E-06,0.090909091,0.0028
2.77E-06,0.090909091,0.0028
2.70E-06,0.090909091,0.0028
2.63E-06,0.090909091,0.0028
2.57E-06,0.090909091,0.0028
2.51E-06,0.090909091,0.0028
2.44E-06,0.090909091,0.0028
2.38E-06,0.090909091,0.0028
2.32E-06,0.090909091,0.0028
2.27E-06,0.090909091,0.0028
2.21E-06,0.090909091,0.0028
2.16E-06,0.090909091,0.0028
2.10E-06,0.090909091,0.0028
2.05E-06,0.090909091,0.0028
2.00E-06,0.090909091,0.0028
1.95E-06,0.090909091,0.0028
1.90E-06,0.090909091,0.0028
1.86E-06,0.090909091,0.0028
1.81E-06,0.090909091,0.0028
1.77E-06,0.090909091,0.0028
1.72E-06,0.090909091,0.0028
1.68E-06,0.090909091,0.0028
1.64E-06,0.090909091,0.0028
1.60E-06,0.090909091,0.0028
1.56E-06,0.090909091,0.0028
1.52E-06,0.090909091,0.0028
1.48E-06,0.090909091,0.0028
1.45E-06,0.090909091,0.0028
1.41E-06,0.090909091,0.0028
1.37E-06,0.090909091,0.0028
1.34E-06,0.090909091,0.0028
1.31E-06,0.090909091,0.0028
1.28E-06,0.090909091,0.0028
1.24E-06,0.090909091,0.0028
1.21E-06,0.090909091,0.0028
1.18E-06,0.090909091,0.0028
1.15E-06,0.090909091,0.0028
1.13E-06,0.090909091,0.0028
1.10E-06,0.090909091,0.0028
1.07E-06,0.090909091,0.0028
1.04E-06,0.090909091,0.0028
1.02E-06,0.090909091,0.0028
9.93E-07,0.090909091,0.0028
9.69E-07,0.090909091,0.0028
9.45E-07,0.090909091,0.0028
9.22E-07,0.090909091,0.0028
8.99E-07,0.090909091,0.0028
8.77E-07,0.090909091,0.0028
8.55E-07,0.090909091,0.0028
8.34E-07,0.090909091,0.0028
8.13E-07,0.090909091,0.0028
7.93E-07,0.090909091,0.0028
7.74E-07,0.090909091,0.0028
7.55E-07,0.090909091,0.0028
7.36E-07,0.090909091,0.0028
7.18E-07,0.090909091,0.0028
7.00E-07,0.090909091,0.0028
6.83E-07,0.090909091,0.0028
6.66E-07,0.090909091,0.0028
6.49E-07,0.090909091,0.0028
6.33E-07,0.090909091,0.0028
6.18E-07,0.090909091,0.0028
6.03E-07,0.090909091,0.0028
5.88E-07,0.090909091,0.0028
5.73E-07,0.090909091,0.0028
5.59E-07,0.090909091,0.0028
